location,event_date,check_in_from,check_in_to,event_title,job_family,company_name_or_type,qualifications,borough,location_name_and_address
Rockaway Workforce1 Career Center,"Wednesday, October 09, 2019",8:45 AM,9:00 AM,Non-Certified HHA,Healthcare Practitioners and Support,Nursing Personnel,No experience required.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Flushing Library Workforce1 Career Center,"Monday, October 07, 2019",9:30 AM,11:00 AM,"Equipment Assembler, Porter, Dishroom Attendant, Customer Service Representatives Drivers","Transportation, Shipping, Warehousing",Gate Gourmet,"Must have at least 6 months experience. Must have flexible availability including nights and weekends. Must be able to lift, push, pull, move product, equipment and supplies up to 75 pounds / valid driver's license.",Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",1:00 PM,2:00 PM,"Cleaner, Cleaner Supervisor, Food Packer, Flight Checker, Loader, Maintenance Asst, Overnight Cleaning and Sanitation Coordinator, Hygiene Controller, Flight Coordinator, IT Support, Administrative Asst. / Receptionist","Transportation, Shipping, Warehousing",DO & CO,Experience Necessary,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",9:30 AM,11:00 AM,Security Guards,Protective Service,Summit Security,Must have valid 8 & 16 hour certificate and NYS Security License.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
Queens Workforce1 Career Center,"Wednesday, October 09, 2019",1:30 PM,1:45 PM,Direct Support Professionals,"Social Work, Child Care, Counseling",AHRC,No experience/certifications required.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Wednesday, October 09, 2019",1:30 PM,1:45 PM,Driver,"Transportation, Shipping, Warehousing",UPS,Must have valid drivers license. Must drive stick shift.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Rockaway Workforce1 Career Center,"Tuesday, October 08, 2019",8:45 AM,9:00 AM,Commercial Drivers,"Transportation, Shipping, Warehousing",Rivlab Transportation,"Must have Commercial driver's license (CDL A, B, or C) with 'P' (Passenger) and 'S' (School Bus) endorsement. Clean driving records. Must have 6 months of customer service. Must be at least 21 years of age.",Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Queens Workforce1 Career Center,"Tuesday, October 08, 2019",8:45 AM,9:00 AM,Licensed Security Guards/Field Supervisor,Protective Service,Watchguard 24/7 Security,Must have valid 8 & 16 hr. certificate and security license. HSD/GED is required.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
ITC - Long Island,"Tuesday, October 08, 2019",9:00 AM,12:00 PM,Ramp Agent,"Transportation, Shipping, Warehousing",Aviation Company,"NY state drivers license required. Must be able to work outdoors, work days, nights, weekends, holidays & varying schedules. $15/hr. plus overtime & full benefits.",Queens,"ITC - Long Island, Long Island City Workforce1 Industrial & Transportation Career Center, 47-10 Austell Place, Long Island City, NY 11101"
Rockaway Workforce1 Career Center,"Wednesday, October 09, 2019",8:45 AM,9:00 AM,Mechanic,Equipment Repair and Maintenance,Oxford Airport Technical Service,Must have 1 year of maintenance mechanic experience. Must have a valid NYS drivers license.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",1:30 PM,1:45 PM,Direct Support Professionals,"Social Work, Child Care, Counseling",Eihab Human Services,"Drivers license required. Minimum 2 years of experience with human services background & social services. Must have HSD/GED, Associates, BA.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Rockaway Workforce1 Career Center,"Friday, October 11, 2019",8:45 AM,9:00 AM,Security Guard,Protective Service,Sera Security,Must have HSD/GED. Must have NYS Security Guard License and F-02.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
Queens Workforce1 Career Center,"Wednesday, October 09, 2019",8:45 AM,9:00 AM,Certified/Non-Certified HHA & PCA,Healthcare Practitioners and Support,People Care,No experience/certifications required.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Thursday, October 10, 2019",8:45 AM,9:00 AM,Brand Associates/Supervisor,"Sales, Marketing, Wholesaling",Paradies Lagardere,"1 year of sales/customer service experience. Must have HSD/GED, Associates, or BA.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Queens Workforce1 Career Center,"Monday, October 07, 2019",8:45 AM,9:00 AM,"Prep Cooks, Line Cooks, Dishwashers, Servers, Food Runners",Food Service and Accommodations,OTG Management,"Must have 1 year experience in a restaurant. Must have open and flexible availability. Must be able to work nights, weekends, and holidays.",Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",1:00 PM,2:00 PM,"Security Guards, Supervisors, Fire Safety Directors",Protective Service,SOS Security,"Must have valid 8 & 16 hour certificate and NYS Security License. F01, F02, F03, F-80, Z-89, T-89, or F-89 mandatory.",Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
ITC - Staten Island,"Friday, October 11, 2019",9:00 AM,3:00 PM,Carpenter,"Construction, Architecture",Maritime Company,"Company looking for carpenters to work in the maritime industry with experience in both finish and rough carpentry. Must have 3 years experience. Must be able to frame and install cabinetry and windows. Must be able to perform rough deck work and dock building. Pay Rate: $15 - $17 an hour plus medical, dental, and 401k",Staten Island,"ITC - Staten Island, 1972 Richmond Terrace, Staten Island, NY 10302"
Flushing Library Workforce1 Career Center,"Thursday, October 10, 2019",1:00 PM,2:00 PM,Customer Service,Customer Service (Non-Sales),Spectrum,Must have related work experience.,Queens,"Flushing Library Workforce1 Career Center, 41-17 Main Street, 3rd Floor, Flushing, NY 11355"
ITC - Queens,"Thursday, October 10, 2019",12:30 PM,1:00 PM,CDL B Driver Recruitment Event,"Transportation, Shipping, Warehousing",Transportation Company,Must have a CDL B and 1 year of commercial driving experience,Queens,"ITC - Queens, 168-46 91st Ave, 2nd Floor, Jamaica, NY 11432"
Queens Workforce1 Career Center,"Monday, October 07, 2019",8:45 AM,9:00 AM,Security Guards,Protective Service,Security Resources,Must have 8 & 16 hr. certificates and NYS security license.,Queens,"Queens Workforce1 Career Center, 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11342"
Rockaway Workforce1 Career Center,"Monday, October 07, 2019",8:45 AM,9:00 AM,Banquet Cook,Food Service and Accommodations,TWA Hotel,Must have HSD/GED.,Queens,"Rockaway Workforce1 Career Center, 57-17 Shore Front Parkway, Arverne, NY 11692"
